r_mean,g_mean,b_mean,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,grad_mean,grad_std,label
142.3190,131.6481,123.7088,182.0753,167.3152,115.0832,115.0669,162.9692,140.2546,117.0309,165.9051,115.0000,171.2899,159.4648,115.0832,76.0775,143.9197,140.2552,105.1921,157.9851,115.0000,164.4199,152.8876,115.0832,48.7243,124.6740,140.2546,97.8964,153.6381,115.0000,0.044303,0.074116,0
101.1425,79.2763,39.3547,85.3172,150.2390,67.0851,113.3891,140.0322,73.8046,92.4189,103.2664,84.5522,97.5570,126.4606,88.3587,74.3985,72.1622,50.0967,90.4101,64.2831,51.8146,42.0370,62.5067,36.0505,42.5886,34.9209,28.4298,37.0327,32.1216,39.0753,0.080485,0.073350,0
117.7415,104.4487,94.5278,105.0326,129.8951,128.9548,135.4658,128.9467,91.9901,136.5210,107.2698,96.1452,95.9956,129.4270,113.2875,133.7378,107.5211,67.8139,129.5454,83.8755,79.9892,99.5470,122.6817,105.8130,120.1093,81.3974,57.4885,120.7999,76.6738,67.9427,0.080296,0.074291,0
157.8965,103.7476,68.5179,142.3516,165.2740,164.9370,164.0038,153.5973,165.1277,139.0754,146.3763,179.7488,81.4247,109.1430,123.3151,102.5010,78.1013,109.4299,89.8525,98.8216,140.4309,62.9782,93.5762,114.7084,68.6906,37.5683,72.3395,40.5888,42.2819,84.1408,0.039538,0.051446,0
195.9298,159.7297,123.3474,214.6705,202.6235,183.3216,214.8858,189.0498,172.7883,179.1239,211.7124,195.4711,199.1972,176.9603,126.7759,175.1950,149.8330,114.0810,142.2519,181.2924,172.4797,170.3484,144.7076,94.6835,111.8893,108.2302,88.3867,86.7082,150.2429,154.9149,0.056719,0.064815,0
177.3985,135.2986,104.1552,194.3965,178.6494,200.6941,201.7022,178.1883,188.7097,152.3485,136.7106,165.9554,158.7779,132.2366,167.2070,173.4759,143.2636,142.1188,109.1332,82.3922,110.2491,120.0847,99.7611,132.0935,143.5490,118.0583,105.8779,77.4414,59.0044,82.4316,0.052353,0.062821,0
114.4421,90.3383,58.0462,134.0161,99.2730,65.1844,107.0842,175.7259,133.5606,149.7222,96.8450,68.1513,145.4093,81.2594,83.7225,106.1141,86.3817,81.8710,123.0305,66.2698,41.2654,101.2461,50.7822,54.4375,82.9463,34.8428,49.2264,91.2995,38.4859,21.2394,0.055405,0.056991,0
133.3822,114.3401,63.8246,134.2253,75.5703,72.3913,121.0363,170.3122,175.4842,157.4492,152.6933,138.5678,113.3547,95.2457,89.7053,83.7993,141.0605,154.7249,124.4825,120.0176,105.2950,61.4669,34.9140,33.3907,40.4881,65.8335,96.2696,88.4285,75.1190,76.9925,0.042579,0.046530,0
95.0390,90.1559,57.6267,120.4430,127.0311,72.6264,80.4865,121.2453,31.6738,69.5478,144.7352,88.1727,110.1248,116.5041,55.6743,95.9664,108.6462,39.5516,79.2734,126.3005,79.8295,66.7323,70.3314,49.0117,55.4805,61.1941,29.2453,63.6446,74.9786,48.4989,0.051119,0.063373,0
88.1453,102.1379,50.2784,90.0978,160.4425,78.9838,86.7599,90.5395,68.4971,66.5022,78.1560,74.5612,100.1039,165.1406,93.0244,108.9639,97.3023,98.4118,83.3338,82.7823,91.1975,45.9340,89.1384,47.0803,37.7062,44.1848,43.5191,54.4695,51.5681,39.4651,0.076610,0.078281,0
140.9649,128.3387,105.8001,157.3017,174.7077,193.4666,148.2713,171.5965,183.2738,61.5843,83.4438,95.3521,150.7582,143.9280,163.5759,127.1861,159.4238,175.0261,47.7055,88.5284,98.7648,145.7374,117.6748,132.6489,87.0658,128.7296,146.3918,24.8452,81.3067,87.7830,0.035387,0.053579,0
121.6174,98.7963,75.0783,125.3458,184.9053,171.3630,124.7297,126.2163,149.7309,73.1224,71.8664,69.0557,123.8889,122.8830,156.2852,107.6308,96.2717,97.2176,58.1670,62.7395,66.1200,112.2283,92.3086,144.3565,81.7989,64.8597,59.8667,38.8589,39.1771,44.8149,0.076190,0.070375,0
113.2773,112.4817,98.4664,159.0005,104.0416,165.7880,155.9441,63.7400,116.2347,96.1838,63.0557,98.2256,180.8991,109.6648,167.0362,160.0451,55.8365,122.2037,73.2878,54.6912,92.0792,164.4548,114.2558,173.8985,116.9911,53.5165,122.0291,45.4943,43.6848,55.4195,0.055096,0.062110,0
151.9008,125.4203,84.0953,142.8705,156.9468,116.8265,160.3304,173.8632,147.1747,149.2069,167.4667,151.9008,112.5741,117.5568,87.2603,146.3493,141.6987,131.9504,122.2976,139.0925,129.2181,70.0984,75.5927,55.9376,115.6325,88.3013,74.7141,86.3795,92.3461,97.1803,0.057686,0.061550,0
